Id,CAS,SMILES,Status,Experimental value,Predicted value
2420,768-32-1,c1ccc(cc1)[Si](C)(C)C,Training,4.72,4.3149
2421,768-59-2,OCc1ccc(cc1)CC,Training,2.27,2.1139
2422,768-66-1,N1C(C)(C)CCCC1(C)C,Training,2.15,2.9305
2423,768-94-5,NC23(CC1CC(CC(C1)C2)C3),Training,2.44,3.1126
2424,768-95-6,OC23(CC1CC(CC(C1)C2)C3),Training,2.14,3.1188
2425,769-92-6,Nc1ccc(cc1)C(C)(C)C,Training,2.7,2.9855
2426,770-09-2,c1ccc(cc1)C[Si](C)(C)C,Training,4.13,4.4264
2427,770-19-4,O=C(N)Nc1cccc(F)c1,Training,1.29,0.9069
2428,771-39-1,O=C1N=C(Oc2ccccc12)N,Training,0.27,1.243
2429,771-50-6,O=C(O)c2c[nH]c1ccccc12,Training,1.99,1.9362
2430,771-61-9,Fc1c(F)c(F)c(O)c(F)c1(F),Training,3.23,2.5148
2431,771-97-1,Nc1cc2ccccc2(cc1(N)),Training,1.54,1.335
2432,771-99-3,c1ccc(cc1)C2CCNCC2,Training,2.39,2.8226
2433,774-40-3,O=C(OCC)C(O)c1ccccc1,Training,1.53,1.0337
2434,776-35-2,c1ccc3c(c1)c2ccccc2CC3,Training,4.52,4.7392
2435,776-75-0,O=C(c1ccccc1)N2CCCCC2,Training,2.2,2.7761
2436,777-59-3,O=NN(C(=O)Nc1ccc(F)cc1)C,Training,1.88,1.9464
2437,779-02-2,c1ccc3c(c1)cc2ccccc2c3C,Training,5.07,4.8923
2438,780-11-0,O=C(Oc1cccc(c1)C(C)(C)C)NC,Training,2.93,3.0819
2439,780-59-6,O=C1NC(=O)C(C(=O)N1C)(CC=C)CC=C,Training,1.55,1.7145
2440,780-69-8,O(CC)[Si](OCC)(OCC)c1ccccc1,Training,2.99,2.0184
2441,781-43-1,c1ccc3c(c1)c(c2ccccc2c3C)C,Training,5.69,5.4396
2442,786-19-6,O(CC)P(OCC)(=S)SCSc1ccc(cc1)Cl,Training,5.33,5.8
2443,790-53-4,O=C(OCC)C(=Cc1ccc(F)cc1)C(=O)OCC,Training,3.1,3.1364
2444,791-28-6,O=P(c1ccccc1)(c2ccccc2)c3ccccc3,Training,2.83,3.0971
2445,815-24-7,O=C(C(C)(C)C)C(C)(C)C,Training,3,2.4894
2446,816-57-9,O=NN(C(=O)N)CCC,Training,0.3,0.4664
2447,817-99-2,[N-]=[N+]=CC(=O)NCC(=O)N,Training,-1.26,-2.484
2448,818-61-1,O=C(OCCO)C=C,Training,-0.21,-0.2459
2449,819-06-7,FC(F)(F)CN(C)C,Training,1.06,0.9454
2450,821-10-3,C(#CCCl)CCl,Training,2.01,2.6316
2451,821-55-6,O=C(C)CCCCCCC,Training,3.14,2.7116
2452,822-36-6,n1c[nH]cc1C,Training,0.23,0.6059
2453,822-84-4,O=[N+]([O-])c1ccsc1,Training,1.55,1.6309
2454,822-86-6,C1CCC(C(C1)Cl)Cl,Training,3.2,3.5366
2455,823-09-6,n1cccnc1SC,Training,1.01,0.4875
2456,824-46-4,Oc1ccc(O)c(OC)c1,Training,0.47,1.1135
2457,824-75-9,O=C(N)c1ccc(F)cc1,Training,0.91,0.9385
2458,825-44-5,O=S2(=O)(C=Cc1ccccc12),Training,0.88,0.6827
2459,825-56-9,n1nc(oc1)c2ccccc2,Training,1.31,1.4863
2460,825-86-5,O=S(=O)(N)c1ccc(cc1)I,Training,1.59,1.5375
2461,826-81-3,Oc1cccc2ccc(nc12)C,Training,2.33,2.0476
2462,827-42-9,O=C2C=C(c1ccccc1)SS2,Training,3.01,1.8399
2463,829-26-5,c1cc(cc2cc(c(cc12)C)C)C,Training,4.73,4.8109
2464,830-03-5,O=C(Oc1ccc(cc1)[N+](=O)[O-])C,Training,1.5,1.4075
2465,830-07-9,O=[N+]([O-])C=Cc1oc(cc1)[N+](=O)[O-],Training,1.3,1.1344
2466,830-09-1,O=C(O)C=Cc1ccc(OC)cc1,Training,2.68,2.1516
2467,830-13-7,O=C1CCCCCCCCCCC1,Training,4.1,4.0725
2468,830-81-9,O=C(Oc1cccc2ccccc12)C,Training,2.78,2.7658
2469,830-96-6,O=C(O)CCc2c[nH]c1ccccc12,Training,1.75,2.3475
2470,831-61-8,O=C(OCC)c1cc(O)c(O)c(O)c1,Training,1.3,0.8787
2471,831-71-0,O=[N+]([O-])c1oc(C=NNC(N)=S)cc1,Training,1.64,-0.4401
2472,831-82-3,Oc2ccc(Oc1ccccc1)cc2,Training,3.35,3.5691
2473,832-69-9,c1ccc3c(c1)ccc2c3(cccc2C),Training,5.08,4.8923
2474,832-71-3,c1ccc3c(c1)ccc2ccc(cc23)C,Training,5.15,4.8923
2475,833-50-1,n1c(oc2ccccc12)c3ccccc3,Training,3.67,3.4825
2476,834-12-8,n1c(nc(nc1NC(C)C)SC)NCC,Training,2.98,2.7203
2477,834-91-3,O=C1NC(=O)C(=C(N1)C)N(CCF)CCCl,Training,0.85,0.5194
2478,836-30-6,O=[N+]([O-])c1ccc(cc1)Nc2ccccc2,Training,3.74,3.109
2479,838-89-1,O=C(Nc1cccc(c1)C(F)(F)F)N(OC)C,Training,2.64,2.5818
2480,841-06-5,n1c(nc(nc1NC(C)C)SC)NCCCOC,Training,2.82,2.4459
2481,842-00-2,O=S(=O)(N)c2ccc(c1ccccc12)S(=O)(=O)CC,Training,1.24,0.6072
2482,846-49-1,O=C1Nc3ccc(cc3(C(=NC1(O))c2ccccc2Cl))Cl,Training,2.39,2.3789
2483,846-53-7,O=C1Nc3ccc(cc3(C(=NC1)c2ccccc2SC))Cl,Training,2.99,3.82
2484,847-25-6,O=C(NC(CO)C(O)c1ccc(cc1)S(=O)(=O)C)C(Cl)Cl,Training,-0.27,-0.5545
2485,857-62-5,Fc1ccc(cc1)C(O)CCCN3CCN(c2ccccc2(OC))CC3,Training,3.4,3.6795
2486,862-26-0,O=C(OCc1ccccc1)NC(C(=O)NC(C(=O)O)Cc2ccc(O)cc2)C(C)C,Training,2.43,3.6573
2487,865-21-4,O=C(OC2C(O)(C(=O)OC)C5N(c1cc(OC)c(cc1C45(CCN3CC=CC2(CC)C34))C9(C(=O)OC)(c7[nH]c6ccccc6c7CCN8CC(CC(O)(C8)CC)C9))C)C,Training,3.7,5.8473
2488,865-24-7,O=C(OC2C(O)(C(=O)OC)C5N(c1cc(OC)c(cc1C45(CCN3CC=CC2(CC)C34))C9(C(=O)OC)(c7[nH]c6ccccc6c7CCN8CC(CC(O)(C8)CC)C9))C)CN(C)C,Training,4.02,5.0534
2489,865-52-1,C[Ge](C)(C)C,Training,3.31,3.3082
2490,868-77-9,O=C(OCCO)C(=C)C,Training,0.47,0.3014
2491,869-01-2,O=NN(C(=O)N)CCCC,Training,1.04,0.9575
2492,869-29-4,O=C(OC(OC(=O)C)C=C)C,Training,0.78,1.1896
2493,872-05-9,C=CCCCCCCCC,Training,5.7,5.116
2494,872-31-1,c1cscc1Br,Training,2.62,2.7032
2495,872-50-4,O=C1N(C)CCC1,Training,-0.38,-0.1063
2496,872-55-9,c1cc(CC)sc1,Training,2.87,2.8516
2497,872-85-5,O=Cc1ccncc1,Training,0.43,0.5217
2498,873-49-4,c1ccc(cc1)C2CC2,Training,3.27,2.3103
2499,873-62-1,N#Cc1cccc(O)c1,Training,1.7,1.0598
2500,873-63-2,OCc1cccc(c1)Cl,Training,1.94,1.72
2501,873-76-7,OCc1ccc(cc1)Cl,Training,1.96,1.72
2502,874-14-6,O=C1C=CN(C(=O)N1C)C,Training,-0.54,-0.4447
2503,874-41-9,c1cc(c(cc1C)C)CC,Training,4.47,4.126
2504,874-84-0,O=[N+]([O-])C=Cc1cccs1,Training,1.96,1.7672
2505,874-90-8,N#Cc1ccc(OC)cc1,Training,1.7,1.6209
2506,876-98-2,O=C(Oc1c(cccc1C)C)C,Training,2.32,2.6844
2507,877-11-2,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)C,Training,5.62,5.7628
2508,877-22-5,O=C(O)c1cccc(OC)c1(O),Training,1.94,3.4451
2509,877-95-2,O=C(NCCc1ccccc1)C,Training,1.19,1.2801
2510,879-39-0,O=[N+]([O-])c1cc(c(c(c1Cl)Cl)Cl)Cl,Training,3.93,4.3887
2511,881-07-2,O=[N+]([O-])c2cccc1ccc(nc12)C,Training,1.99,2.3455
2512,881-51-6,O=C(Nc1ccc(cc1[N+](=O)[O-])Cl)C,Training,1.78,1.5619
2513,882-06-4,O=C(O)C=Cc1ccc(cc1)[N+](=O)[O-],Training,2.12,1.8884
2514,882-09-7,O=C(O)C(Oc1ccc(cc1)Cl)(C)C,Training,2.57,2.8438
2515,882-14-4,O=C(Nc1ccc(c(c1)Cl)Cl)C(C)C,Training,3.72,3.2974
2516,882-26-8,O=[N+]([O-])C=Cc1cccc(c1)[N+](=O)[O-],Training,1.82,1.7647
2517,882-33-7,c1ccc(cc1)SSc2ccccc2,Training,4.41,4.3067
2518,883-93-2,n2c1ccccc1sc2c3ccccc3,Training,4.26,3.933
2519,885-82-5,O=[N+]([O-])c1cc(ccc1(O))c2ccccc2,Training,3.71,3.0945
2520,886-50-0,n1c(nc(nc1NC(C)(C)C)SC)NCC,Training,3.74,3.1738
2521,886-59-9,O=C(Nc1ccccc1)NC2CCCCC2,Training,2.77,3.442
2522,890-67-5,O=S(=O)(N)c1cc2c(cc1Cl)NC(NS2(=O)(=O))C,Training,0.08,-0.6976
2523,891-60-1,O=C(NCCN(CC)CC)c1ccc(N)c(c1)Cl,Training,1.7,1.6109
2524,919-86-8,O=P(OC)(OC)SCCSCC,Training,1.02,1.1104
2525,920-66-1,FC(F)(F)C(O)C(F)(F)F,Training,1.66,1.1078
2526,923-26-2,O=C(OCC(O)C)C(=C)C,Training,0.97,0.719
2527,923-99-9,O(CCC)P(OCCC)OCCC,Training,2.26,2.2175
2528,924-16-3,O=NN(CCCC)CCCC,Training,2.63,2.308
2529,924-46-9,O=NN(C)CCC,Training,0.56,0.3436
2530,925-15-5,O=C(OCCC)CCC(=O)OCCC,Training,2.16,2.3692
2531,925-57-5,O=C(OC)CCCO,Training,-0.06,-0.1095
2532,925-76-8,O=C(C=C)NCCN(C)C,Training,-0.25,-0.6443
2533,928-51-8,OCCCCCl,Training,0.85,1.095
2534,929-17-9,O=C(O)CCCCCCN,Training,-3.03,-2.1287
2535,929-77-1,O=C(OC)CCCCCCCCCCCCCCCCCCCCC,Training,10.2,10.1951
2536,930-36-9,n1cccn1C,Training,0.23,0.6059
2537,930-55-2,O=NN1CCCC1,Training,-0.19,0.2312
2538,930-68-7,O=C1C=CCCC1,Training,0.61,0.9109
2539,931-63-5,n1cccnc1OC,Training,0.23,0.9166
2540,932-17-2,O=C(N1C(=O)CCC1)C,Training,-0.05,-0.6299
2541,932-83-2,O=NN1CCCCCC1,Training,0.92,1.2134
2542,933-67-5,c2cc1cc[nH]c1c(c2)C,Training,2.56,2.6021
2543,933-78-8,Oc1cc(cc(c1Cl)Cl)Cl,Training,3.84,3.4463
2544,933-87-9,O=[N+]([O-])c1ncn(c1Br)C,Training,0.36,1.3136
2545,933-90-4,O=C(N)c1ncccc1(O),Training,0.65,-0.1536
2546,933-98-2,c1cc(c(c(c1)CC)C)C,Training,4.34,4.126
2547,934-32-7,n1c(N)[nH]c2ccccc12,Training,0.91,0.3176
2548,934-74-7,c1c(cc(cc1C)CC)C,Training,4.55,4.126
2549,934-80-5,c1cc(c(cc1CC)C)C,Training,4.5,4.126
2550,935-30-8,O=C1NCCCCCCC1,Training,0.67,1.6469
2551,935-92-2,O=C1C=C(C(=O)C(=C1C)C)C,Training,1.82,1.3116
2552,935-95-5,Oc1c(c(cc(c1Cl)Cl)Cl)Cl,Training,3.88,4.0908
2553,936-02-7,O=C(NN)c1ccccc1(O),Training,0.6,-0.4613
2554,936-98-1,OCC2CC2(c1ccccc1),Training,1.95,1.2631
2555,937-05-3,OC1CCC(CC1)C(C)(C)C,Training,3.06,3.4171
2556,937-40-6,O=NN(C)Cc1ccccc1,Training,1.55,1.0692
2557,938-16-9,O=C(c1ccccc1)C(C)(C)C,Training,3,3.0358
2558,938-22-7,O(c1c(cc(c(c1Cl)Cl)Cl)Cl)C,Training,4.75,4.6519
2559,938-33-0,n1cccc2cccc(OC)c12,Training,1.84,2.0614
2560,938-56-7,OCCn2nnc1ccccc12,Training,0.5,-0.012
2561,938-86-3,O(c1cc(c(c(c1Cl)Cl)Cl)Cl)C,Training,4.51,4.6519
2562,938-91-0,O=C(NC)N(c1ccccc1)C,Training,1.02,1.7197
2563,939-23-1,n1ccc(cc1)c2ccccc2,Training,2.59,2.7306
2564,939-27-5,c1ccc2cc(ccc2(c1))CC,Training,4.38,4.2074
2565,939-48-0,O=C(OC(C)C)c1ccccc1,Training,3.18,2.7369
2566,940-36-3,O=C(OC)Nc1ccc(cc1)Cl,Training,2.55,2.3961
2567,940-43-2,O=C(NC)CCc1ccccc1,Training,1.17,1.5027
2568,940-64-7,O=C(O)COc1ccc(cc1)C,Training,1.86,1.8755
2569,941-69-5,O=C1C=CC(=O)N1c2ccccc2,Training,1.09,-0.5378
2570,942-24-5,O=C(OC)c2c[nH]c1ccccc12,Training,2.57,1.89
2571,942-79-0,N#Cc1ccccc1(OC(=O)NC),Training,0.86,0.7194
2572,943-49-7,N#Cc1cccc(OC(=O)NC)c1,Training,0.97,0.7194
2573,943-88-4,O=C(C=Cc1ccc(OC)cc1)C,Training,2.25,1.8298
2574,944-21-8,O=P(OCC)(CC)Sc1ccccc1,Training,2.11,2.2567
2575,944-22-9,O(CC)P(CC)(=S)Sc1ccccc1,Training,3.94,4.6806
2576,944-61-6,O(c1c(OC)c(c(c(c1Cl)Cl)Cl)Cl)C,Training,4.86,4.7328
2577,945-51-7,O=S(c1ccccc1)c2ccccc2,Training,2.06,3.757
2578,946-76-9,N#CC(C#N)=NNc1ccc(cc1)Cl,Training,3.39,3.1504
2579,946-80-5,O(c1ccccc1)Cc2ccccc2,Training,3.79,3.7817
2580,947-04-6,O=C1NCCCCCCCCCCC1,Training,2.92,3.6113
2581,947-73-9,Nc2cc1ccccc1c3ccccc23,Training,3.56,3.428
2582,947-84-2,O=C(O)c2ccccc2(c1ccccc1),Training,2.89,3.6384
2583,949-67-7,O=C(OCC)C(N)Cc1ccc(O)cc1,Training,0.72,0.8158
2584,950-10-7,O=P(N=C1SCC(C)S1)(OCC)OCC,Training,1.04,1.2126
2585,950-35-6,O=[N+]([O-])c1ccc(OP(=O)(OC)OC)cc1,Training,1.33,0.9835
2586,950-37-8,O=C1N(N=C(OC)S1)CSP(OC)(OC)=S,Training,2.2,0.7595
2587,951-78-0,O=C1C=CN(C(=O)N1)C2OC(CO)C(O)C2,Training,-1.51,-1.7393
2588,952-12-5,n1cccc2nc([nH]c12)c3ccc(cc3)C,Training,3.02,2.3574
2589,952-13-6,n1cccc2nc([nH]c12)c3ccc(cc3)Cl,Training,2.95,2.4546
2590,952-14-7,Fc1ccc(cc1)c2nc3ncccc3([nH]2),Training,2.52,2.0105
2591,953-17-3,O(C)P(OC)(=S)SCSc1ccc(cc1)Cl,Training,4.82,4.8178
2592,959-98-8,O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Training,3.83,2.8946
2593,961-11-5,O=P(OC(=CCl)c1cc(c(cc1Cl)Cl)Cl)(OC)OC,Training,3.53,3.8081
2594,961-22-8,O=C1c2ccccc2(N=NN1CSP(=O)(OC)OC),Training,0.78,1.5783
2595,962-58-3,O=P(Oc1nc(nc(c1)C)C(C)C)(OCC)OCC,Training,2.07,2.0985
2596,962-89-0,c1ccc(cc1)[Sn](c2ccccc2)(c3ccccc3)Br,Training,4.5,3.621
2597,968-81-0,O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C,Training,2.44,2.3355
2598,969-99-3,O=S3c1ccccc1N(c2cc(ccc23)Cl)CCCN(C)C,Training,2.32,5.1371
2599,976-71-6,O=C1OC4(CC1)(CCC3C5C=CC2=CC(=O)CCC2(C)C5(CCC34(C))),Training,2.68,4.1121
2600,982-24-1,OCCN4CCN(CCC=C2c1ccccc1Sc3ccc(cc23)Cl)CC4,Training,4.18,4.0778
2601,987-24-6,O=C(OCC(=O)C3(O)(C(C)CC2C4CCC1=CC(=O)C=CC1(C)C4(F)(C(O)CC23(C))))C,Training,2.77,2.5158
2602,992-62-1,O=C3OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(O)(C)C(OC1OC(C)CC(NC)C1(O))C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C3C)C,Training,2.21,0.2594
2603,997-95-5,O=NN(CC(C)C)CC(C)C,Training,2.34,2.161
2604,999-10-0,O=C(OCC)CCCO,Training,0.43,0.3816
2605,999-29-1,[N-]=[N+]=CC(=O)NCC(=O)OCC,Training,-0.08,-0.8577
2606,999-61-1,O=C(OCC(O)C)C=C,Training,0.35,0.1717
2607,1000-36-8,O=P(OCCCCC)(OCCCCC)C,Training,3.74,3.3434
2608,1000-49-3,CCCC[Si](C)(C)C,Training,4.2,4.1919
2609,1001-52-1,CCCC[Si](C)C,Training,3.57,3.6446
2610,1002-53-5,CCCC[Sn]CCCC,Training,1.49,0.5702
2611,1002-57-9,O=C(O)CCCCCCCN,Training,-2.55,-1.6376
2612,1003-09-4,c1cc(Br)sc1,Training,2.75,2.7032
2613,1003-29-8,O=Cc1ccc[nH]1,Training,0.64,0.596
2614,1003-31-2,N#Cc1cccs1,Training,1.27,1.3602
2615,1004-36-0,O=C1C=C(OC(=C1)C)C,Training,0.1,0.9494
2616,1006-59-3,Oc1c(cccc1CC)CC,Training,3.03,3.5896
2617,1006-94-6,O(c1ccc2[nH]ccc2(c1))C,Training,2.06,2.1357
2618,1007-28-9,n1c(nc(nc1NCC)Cl)N,Training,1.15,1.3615
2619,1007-36-9,O=C(Nc1ccccc1)NC,Training,1.12,1.1724
2620,1008-89-5,n1ccccc1c2ccccc2,Training,2.63,2.7306
2621,1009-17-2,O=C(NCCN)c1ccccc1,Training,0.06,0.2241
2622,1009-61-6,O=C(c1ccc(cc1)C(=O)C)C,Training,1.34,1.3542
2623,1010-60-2,O=C1C=C(C(=O)c2ccccc12)Cl,Training,2.29,2.1531
2624,1011-54-7,O=C(O)C=Cc1ccccc1(OC),Training,2.18,2.1516
2625,1013-51-0,O=C(OC)Cn1c(ncc1[N+](=O)[O-])C,Training,0.17,0.5115
2626,1014-69-3,n1c(nc(nc1NC(C)C)SC)NC,Training,2.38,2.2292
2627,1014-70-6,n1c(nc(nc1NCC)SC)NCC,Training,2.8,2.3027
2628,1016-47-3,O=C(NCCc2c[nH]c1ccccc12)C,Training,1.41,1.5645
2629,1017-24-9,O=C(c1ccncc1)Cc2ccccc2,Training,1.35,2.1929
2630,1022-45-3,O=C1N=C(Nc2ccccc12)c3ccccc3,Training,2.53,2.4206
2631,1022-66-8,O=C3Nc1ccccc1CC3(c2ccccc2),Training,2.93,2.9463
2632,1024-57-3,O1C2C1C(C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl)Cl,Training,4.98,4.5634
2633,1031-07-8,O=S1(=O)(OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl),Training,3.66,4.2446
2634,1034-01-1,O=C(OCCCCCCCC)c1cc(O)c(O)c(O)c1,Training,3.66,3.8253
2635,1068-57-1,O=C(NN)C,Training,-1.58,-2.6583
2636,1071-83-6,O=C(O)CNCP(=O)(O)O,Training,-4,-2.4484
2637,1072-83-9,O=C(c1ccc[nH]1)C,Training,0.93,0.5594
2638,1073-72-9,Oc1ccc(cc1)SC,Training,1.78,2.0601
2639,1074-17-5,c1ccc(c(c1)C)CCC,Training,4.5,4.0698
2640,1074-43-7,c1cc(cc(c1)CCC)C,Training,4.67,4.0698
2641,1074-55-1,c1cc(ccc1C)CCC,Training,4.6,4.0698
2642,1075-49-6,O=C(O)c1ccc(C=C)cc1,Training,2.18,2.7764
2643,1076-22-8,O=C1NC(=O)N(c2[nH]cnc12)C,Training,-0.5,0.0053
2644,1077-05-0,O(c1ccccc1)P2OCCO2,Training,1.42,0.3752
2645,1077-16-3,c1ccc(cc1)CCCCCC,Training,5.52,4.9958
2646,1078-71-3,c1ccc(cc1)CCCCCCC,Training,5.37,5.4869
2647,1080-06-4,O=C(OC)C(N)Cc1ccc(O)cc1,Training,0.29,0.3247
2648,1081-15-8,O=[N+]([O-])c1ccc(NN=C)c(c1)[N+](=O)[O-],Training,2.33,0.7114
2649,1081-34-1,c3cc(c2ccc(c1cccs1)s2)sc3,Training,5.57,4.9816
2650,1081-77-2,c1ccc(cc1)CCCCCCCCC,Training,7.11,6.4691
2651,1082-23-1,O(c1ccc(c(OC)c1(OC))CC(N)C)C,Training,1.51,1.9981
2652,1082-88-8,O(c1cc(cc(OC)c1(OC))CC(N)C)C,Training,1.21,1.9981
2653,1083-09-6,O(c1cc(OC)c(cc1(OC))CC(N)C)C,Training,1.74,1.9981
2654,1083-27-8,O=C(OCCCCCC)c1ccc(O)cc1,Training,4.35,3.8035
2655,1083-41-6,O=C(OCCCC)c1cc(O)c(O)c(O)c1,Training,2.41,1.8609
2656,1083-48-3,O=[N+]([O-])c1ccc(cc1)Cc2ccncc2,Training,2.88,2.8773
2657,1083-59-6,O=[N+]([O-])c2oc(C=Cc1ncccn1)cc2,Training,1.34,1.6588
2658,1085-12-7,O=C(OCCCCCCC)c1ccc(O)cc1,Training,4.83,4.2946
2659,1085-98-9,O=S(=O)(N(c1ccccc1)SC(F)(Cl)Cl)N(C)C,Training,3.7,2.718
2660,1087-26-9,O=C(OCCCCCC)c1cc(O)c(O)c(O)c1,Training,3.17,2.8431
2661,1088-11-5,O=C1Nc3ccc(cc3(C(=NC1)c2ccccc2))Cl,Training,2.93,3.2727
2662,1090-16-0,O=C2c3ccccc3(C(=O)C(=C2(Nc1ccccc1))Cl),Training,4.22,3.5275
2663,1113-02-6,O=C(NC)CSP(=O)(OC)OC,Training,-0.75,-1.4871
2664,1114-71-2,O=C(N(CC)CCCC)SCCC,Training,3.83,3.0047
2665,1116-82-1,N#CCCN(N=O)CCC#N,Training,0.08,-1.6124
2666,1118-46-3,CCCC[Sn](Cl)(Cl)Cl,Training,0.41,0.3496
2667,1118-68-9,O=C(O)CN(C)C,Training,-2.91,-2.7309
2668,1119-40-0,O=C(OC)CCCC(=O)OC,Training,0.62,0.8959
2669,1120-28-1,O=C(OC)CCCCCCCCCCCCCCCCCCC,Training,9.3,9.2129
2670,1120-34-9,O=C(OC)CCCCCCCCCCCC=CCCCCCCCC,Training,9.32,9.9801
2671,1120-87-2,n1ccc(cc1)Br,Training,1.54,1.6945
2672,1120-88-3,n1ncc(cc1)C,Training,-0.32,0.4875
2673,1120-90-7,n1cccc(c1)I,Training,1.8,1.9717
2674,1120-95-2,n1nc(ccc1)Cl,Training,0.1,0.5847
2675,1121-07-9,O=C1N(C(=O)CC1)C,Training,-0.95,-0.1586
2676,1121-60-4,O=Cc1ncccc1,Training,0.44,0.5217
2677,1122-54-9,O=C(c1ccncc1)C,Training,0.48,0.4851
2678,1122-61-8,O=[N+]([O-])c1ccncc1,Training,0.33,0.6222
2679,1122-62-9,O=C(c1ncccc1)C,Training,0.85,0.4851
2680,1122-81-2,n1ccc(cc1)CCC,Training,2.1,2.334
2681,1123-54-2,n1nc2c(ncnc2([nH]1))N,Training,-0.96,-0.9463
2682,1124-11-4,n1c(c(nc(c1C)C)C)C,Training,1.28,2.1294
2683,1125-78-6,Oc1ccc2c(c1)CCCC2,Training,2.9,3.4772
2684,1125-80-0,n1cc2ccccc2(cc1C),Training,2.68,2.5278
2685,1126-00-7,n1cccn1c2ccccc2,Training,2.2,1.8226
2686,1126-46-1,O=C(OC)c1ccc(cc1)Cl,Training,2.87,2.4727
2687,1126-78-9,c1ccc(cc1)NCCCC,Training,3.58,3.0966
2688,1127-76-0,c1ccc2c(c1)cccc2CC,Training,4.4,4.2074
2689,1128-05-8,O=C(c1csc2ccccc12)C,Training,2.78,2.6698
2690,1128-78-5,O=C(Oc1ccccc1C)NC,Training,1.46,1.7197
2691,1129-26-6,O=S(=O)(N)c1ccc(OC)cc1,Training,0.47,0.4512
2692,1129-37-9,O=[N+]([O-])c1ccc(C=NO)cc1,Training,1.95,1.768
2693,1129-41-5,O=C(Oc1cccc(c1)C)NC,Training,1.7,1.7197
2694,1129-48-2,O=C(Oc1ccc(cc1)C)NC,Training,1.66,1.7197
2695,1129-50-6,O=C(Nc1ccccc1)CCC,Training,2.05,2.0819
2696,1131-64-2,N=C(N)N2Cc1ccccc1CC2,Training,0.75,0.9689
2697,1132-18-9,O=S(=O)(N)c1ccc(cc1)CCC,Training,1.64,1.8998
2698,1132-21-4,O=C(O)c1cc(OC)cc(OC)c1,Training,2.19,2.0362
2699,1134-23-2,O=C(N(CC)C1CCCCC1)SCC,Training,3.88,3.3099
2700,1134-47-0,O=C(O)CC(c1ccc(cc1)Cl)CN,Training,-0.96,-1.5458
2701,1134-61-8,C(#Cc2ccc(c1cccs1)s2)C=C,Training,5.15,5.0994
2702,1134-87-8,O=C(C)C(C(=O)C)Cc1ccccc1,Training,1.89,0.8229
2703,1135-00-8,O=S(=O)(N)c1ccc(cc1)CCCC,Training,2.45,2.3909
2704,1135-24-6,O=C(O)C=Cc1ccc(O)c(OC)c1,Training,1.51,1.6714
2705,1135-43-9,O=C(Oc1ccc(cc1)C(=O)C)NC,Training,1.01,0.853
2706,1135-58-6,O=C(N)Nc1cccc(c1)NC(=O)N,Training,0.58,-0.58
2707,1137-42-4,O=C(c1ccccc1)c2ccc(O)cc2,Training,3.07,3.0705
2708,1137-96-8,[O-][N+](=Cc1ccccc1)c2ccccc2,Training,1.88,1.557
2709,1138-58-5,O=S(=O)(N)c1ccc(OCCCC)cc1,Training,2.05,1.9245
2710,1138-60-9,O=C(OC(C)C)c1cc(O)c(O)c(O)c1,Training,1.54,1.2963
2711,1141-88-4,Nc1ccccc1SSc2ccccc2(N),Training,3.05,2.4727
2712,1142-70-7,O=C1NC(=O)C(C(=O)N1)(CC(=C)Br)C(C)CC,Training,2.2,2.4506
2713,1143-78-8,O=C(OCC)CC(n2nnc1ccccc12)C,Training,2.27,1.9021
2714,1145-46-6,O=S(=O)(N)c1ccc(OCCCCCC)cc1,Training,2.93,2.9067
2715,1146-98-1,O=C2c3ccccc3(C(=O)C2(c1ccc(cc1)Br)),Training,3.76,3.275
2716,1146-99-2,O=C2c3ccccc3(C(=O)C2(c1ccc(cc1)Cl)),Training,3.61,3.0295
2717,1148-79-4,n1ccccc1c2nc(ccc2)c3ncccc3,Training,1.96,2.4418
2718,1151-51-5,O=C(Nc1ccc(cc1)Cl)c2cc(cc(c2(O))Cl)Cl,Training,5.15,5.2302
2719,1152-72-3,O=C(OCC(C#Cc1ccc(C#CC#CC)s1)Cl)C,Training,4.6,5.52
2720,1155-00-6,O=[N+]([O-])c1ccccc1SSc2ccccc2[N+](=O)[O-],Training,3.37,3.9421
2721,1156-19-0,O=C(NN1CCCCCC1)NS(=O)(=O)c2ccc(cc2)C,Training,2.69,2.2302
2722,1159-93-9,O=C2c3ccccc3(Nc1cc(ccc1N2CCN(C)C)Cl),Training,3.73,3.4232
2723,1164-13-2,O=S(=O)(Nc1nc(nc(OCC)c1)OCC)c2ccc(N)cc2,Training,2.4,3.0133
2724,1165-48-6,O=C2c3ccc(OC)c(c3(OC(c1ccccc1)=C2C))CN(C)C,Training,3.65,3.8897
2725,1182-87-2,O=CC56(CCC(OC1OC(C)C(O)C(OC)C1(O))CC6(CCC3C5(CCC4(C)(C(C2=CC(=O)OC2)CCC34(O))))),Training,1.05,2.2343
