Id	CAS	SMILES	Status	Experimental value [log(L/kg)]	Predicted value [log(L/kg)]
332	95-76-1	Nc1ccc(c(c1)Cl)Cl	Training	0.94	1.0513763
333	95-82-9	Nc1cc(ccc1Cl)Cl	Training	1.19	1.412605
334	554-00-7	Nc1ccc(cc1Cl)Cl	Training	1.33	1.0511837
335	95-69-2	Nc1ccc(cc1C)Cl	Training	1.0	0.9786813
336	634-93-5	Nc1c(cc(cc1Cl)Cl)Cl	Test	2.0	1.4482979
337	1477-55-0	NCc1cccc(c1)CN	Training	0.43	0.4281667
338	103-83-3	c1ccc(cc1)CN(C)C	Training	0.63	0.9732576
339	88-74-4	O=[N+]([O-])c1ccccc1(N)	Training	0.52	0.4652513
340	99-09-2	O=[N+]([O-])c1cccc(N)c1	Training	0.34	0.29048693
341	100-01-6	O=[N+]([O-])c1ccc(N)cc1	Test	0.5	0.31305212
342	89-63-4	O=[N+]([O-])c1cc(ccc1(N))Cl	Training	1.0	0.42849094
343	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	1.33	1.6558908
344	98-95-3	O=[N+]([O-])c1ccccc1	Test	0.67	0.6513021
345	88-72-2	O=[N+]([O-])c1ccccc1C	Training	1.26	0.78675026
346	99-08-1	O=[N+]([O-])c1cccc(c1)C	Training	0.88	0.7850952
347	99-99-0	O=[N+]([O-])c1ccc(cc1)C	Test	0.8	0.76597416
348	88-73-3	O=[N+]([O-])c1ccccc1Cl	Training	1.17	0.8467527
349	100-00-5	O=[N+]([O-])c1ccc(cc1)Cl	Training	1.11	0.8203438
351	610-39-9	O=[N+]([O-])c1ccc(cc1[N+](=O)[O-])C	Training	0.43	0.63924
353	99-54-7	O=[N+]([O-])c1ccc(c(c1)Cl)Cl	Training	1.71	1.1386303
354	102-06-7	N=C(Nc1ccccc1)Nc2ccccc2	Training	1.3	1.4090399
355	120-71-8	O(c1ccc(cc1(N))C)C	Training	1.4	0.46803838
356	591-27-5	Oc1cccc(N)c1	Training	1.6	0.24851301
357	156-43-4	O(c1ccc(N)cc1)CC	Training	1.0	0.79411376
358	62-44-2	O=C(Nc1ccc(OCC)cc1)C	Training	1.48	0.6020085
359	88-75-5	O=[N+]([O-])c1ccccc1(O)	Training	1.34	0.38535637
360	100-02-7	O=[N+]([O-])c1ccc(O)cc1	Training	0.6	0.28896037
361	91-23-6	O=[N+]([O-])c1ccccc1(OC)	Training	0.6	0.42198172
362	100-17-4	O=[N+]([O-])c1ccc(OC)cc1	Training	1.09	0.42483407
363	555-03-3	O=[N+]([O-])c1cccc(OC)c1	Test	0.76	0.4601152
364	119-33-5	O=[N+]([O-])c1cc(ccc1(O))C	Test	0.95	0.4734627
365	2581-34-2	O=[N+]([O-])c1ccc(O)cc1C	Training	1.06	0.4114184
366	51-28-5	O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	Training	0.57	0.1688548
367	1836-77-7	O=[N+]([O-])c2ccc(Oc1c(cc(cc1Cl)Cl)Cl)cc2	Training	3.11	3.0815024
368	91-15-6	N#Cc1ccccc1(C#N)	Training	0.0	0.2968979
369	623-26-7	N#Cc1ccc(C#N)cc1	Training	0.24	0.25354055
370	626-17-5	N#Cc1cccc(C#N)c1	Test	0.75	0.4306711
371	330-55-2	O=C(Nc1ccc(c(c1)Cl)Cl)N(OC)C	Training	1.26	1.0686945
372	330-54-1	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	Training	0.93	1.4142078
373	538-75-0	C(=NC1CCCCC1)=NC2CCCCC2	Training	0.34	1.3896672
374	14800-24-9	c1ccc(cc1)C[N+](C)(C)C	Training	0.18	0.09508121
375	782-74-1	c1ccc(c(c1)NNc2ccccc2Cl)Cl	Test	3.65	3.2297258
376	101-77-9	Nc1ccc(cc1)Cc2ccc(N)cc2	Training	0.96	1.7545575
377	101-14-4	Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl	Training	2.24	2.7122629
378	134-32-7	Nc1cccc2ccccc12	Training	1.26	1.1068178
379	2243-62-1	Nc1cccc2c(N)cccc12	Training	0.65	0.85670584
380	479-27-6	Nc1cccc2cccc(N)c12	Training	0.71	0.7346358
381	90-30-2	c1ccc(cc1)Nc3cccc2ccccc23	Test	3.23	2.7627163
382	135-88-6	c1ccc(cc1)Nc2ccc3ccccc3(c2)	Training	2.23	2.5439904
383	82-45-1	O=C1c3ccccc3(C(=O)c2c(N)cccc12)	Test	1.98	0.798042
384	117-79-3	O=C1c3ccccc3(C(=O)c2cc(N)ccc12)	Training	1.51	0.8000529
385	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Training	2.16	2.496704
386	504-24-5	n1ccc(N)cc1	Training	0.65	0.068040624
387	504-29-0	n1ccccc1N	Training	1.18	0.1130028
388	462-08-8	n1cccc(N)c1	Training	0.32	0.0731769
389	91-22-5	n1cccc2ccccc12	Training	0.0	1.1162624
390	123-91-1	O1CCOCC1	Training	-0.3	0.110935494
391	110-85-0	N1CCNCC1	Training	0.59	0.11511859
392	108-78-1	n1c(nc(nc1N)N)N	Test	0.58	0.0032372694
393	110-00-9	o1cccc1	Training	0.05	0.14255476
394	90-41-5	Nc1ccccc1c2ccccc2	Test	1.42	1.644245
395	119-93-7	Nc1ccc(cc1C)c2ccc(N)c(c2)C	Training	1.67	1.8532796
396	111-44-4	O(CCCl)CCCl	Test	-0.08	0.68695736
397	76-03-9	O=C(O)C(Cl)(Cl)Cl	Test	-0.15	-0.037855648
398	67-68-5	O=S(C)C	Training	0.6	0.11638211
399	62-56-6	NC(N)=S	Training	0.3	0.4613445
400	13674-87-8	O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl	Test	0.13	1.7766286
401	115-96-8	O=P(OCCCl)(OCCCl)OCCCl	Training	-0.18	0.4948342
402	13674-84-5	O=P(OC(C)CCl)(OC(C)CCl)OC(C)CCl	Training	0.51	1.0856596
403	126-72-7	O=P(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br	Training	0.51	1.2468871
404	78-40-0	O=P(OCC)(OCC)OCC	Training	-0.21	0.58151656
405	78-42-2	O=P(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC	Training	1.19	1.3101693
406	512-56-1	O=P(OC)(OC)OC	Training	-0.52	0.021952959
407	126-73-8	O=P(OCCCC)(OCCCC)OCCCC	Training	1.13	1.5668242
408	78-51-3	O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC	Training	0.76	0.6531297
409	76-87-9	O[Sn](c1ccccc1)(c2ccccc2)c3ccccc3	Training	2.85	2.8077564
410	92-69-3	Oc1ccc(cc1)c2ccccc2	Test	1.59	1.988875
411	131-57-7	O=C(c1ccccc1)c2ccc(OC)cc2(O)	Training	1.98	0.9476415
412	616-44-4	c1cscc1C	Test	0.58	0.59817463
413	149-30-4	n2c1ccccc1sc2S	Test	0.9	0.7633173
414	583-39-1	n1c2ccccc2([nH]c1S)	Training	0.42	0.52805203
415	92-84-2	c1ccc3c(c1)Nc2ccccc2S3	Training	2.55	1.8819518
416	132-65-0	c1ccc3c(c1)c2ccccc2s3	Training	3.05	2.7199
417	95-16-9	n1csc2ccccc12	Test	0.76	0.6683766
418	110-02-1	c1ccsc1	Training	0.86	0.31588057
419	311-89-7	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	1.42	0.8794716
420	102-70-5	C=CCN(CC=C)CC=C	Training	0.55	1.3500141
421	118-83-2	O=[N+]([O-])c1ccc(cc1C(F)(F)F)Cl	Test	1.87	1.9700025
422	2042-14-0	O=[N+]([O-])c1cc(O)ccc1C	Training	1.0	0.4308748
423	5428-54-6	O=[N+]([O-])c1ccc(c(O)c1)C	Training	0.75	0.4759869
424	96-96-8	O=[N+]([O-])c1cc(OC)ccc1(N)	Training	0.82	0.19656654
425	609-89-2	O=[N+]([O-])c1cc(cc(c1(O))Cl)Cl	Training	1.31	0.5734219
426	134-62-3	O=C(c1cccc(c1)C)N(CC)CC	Training	0.38	1.40438
427	121-92-6	O=C(O)c1cccc(c1)[N+](=O)[O-]	Training	0.85	0.3598431
428	603-11-2	O=C(O)c1cccc(c1(C(=O)O))[N+](=O)[O-]	Test	0.72	0.2244982
429	2655-14-3	O=C(Oc1cc(cc(c1)C)C)NC	Training	0.28	1.1318512
430	2631-40-5	O=C(Oc1ccccc1C(C)C)NC	Training	0.37	1.5241783
431	89-93-0	NCc1ccccc1C	Training	0.66	0.8186691
433	10541-83-0	O=C(O)c1ccc(cc1)NC	Training	0.38	0.3750374
434	4883-72-1	O=NN(O)C1CCCCC1	Training	0.62	0.30432853
435	86-74-8	c1ccc3c(c1)[nH]c2ccccc23	Training	2.07	1.8750918
436	10605-21-7	O=C(OC)Nc1nc2ccccc2([nH]1)	Training	-0.1	0.4781523
437	94-52-0	O=[N+]([O-])c1ccc2[nH]cnc2(c1)	Training	0.11	0.31217605
438	61-82-5	n1c[nH]nc1N	Training	0.49	0.094259255
439	100-43-6	n1ccc(C=C)cc1	Training	1.86	0.76322687
440	109-09-1	n1ccccc1Cl	Training	1.28	0.30783108
441	626-67-5	N1(C)CCCCC1	Training	0.65	0.45848417
442	3089-11-0	n1c(nc(nc1N(COC)COC)N(COC)COC)N(COC)COC	Test	0.28	0.6162016
443	108-80-5	Oc1nc(O)nc(O)n1	Training	-0.3	-0.015812583
444	839-90-7	O=C1N(C(=O)N(C(=O)N1CCO)CCO)CCO	Training	0.2	0.20407017
445	92-77-3	O=C(Nc1ccccc1)c2cc3ccccc3(cc2(O))	Training	0.81	1.6335821
446	91-96-3	O=C(Nc1ccc(cc1C)c2ccc(NC(=O)CC(=O)C)c(c2)C)CC(=O)C	Training	0.2	0.6787819
447	71767-67-4	N#CCCN(c2ccc(N=Nc1c(cc(cc1Cl)[N+](=O)[O-])Cl)cc2)CCC#N	Test	1.56	0.86746025
448	40690-89-9	N#CCCN(c2ccc(N=Nc1ccc(cc1)[N+](=O)[O-])cc2)CCOC(=O)c3ccccc3	Training	0.83	0.7868098
449	61968-52-3	O=C(OCCN(c2ccc(N=Nc1ccc(cc1Cl)[N+](=O)[O-])c(c2)NC(=O)CC)CCOC(=O)C)C	Training	0.73	0.2927686
452	56113-42-9	O=C(O)c1c(C(=O)N)c(c(c(c1Cl)Cl)Cl)Cl	Training	0.49	0.35112682
453	3864-99-1	Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)n2nc3ccc(cc3(n2))Cl	Training	1.0	1.8959516
454	4685-14-7	c1c[n+](ccc1c2cc[n+](cc2)C)C	Training	0.28	0.55749196
455	2814-20-2	O=C1N=C(NC(=C1)C)C(C)C	Test	-0.38	0.1667208
456	2764-72-9	c1cc[n+]3c(c1)c2cccc[n+]2CC3	Training	0.76	0.73960704
457	100-26-5	O=C(O)c1ncc(cc1)C(=O)O	Training	0.76	0.092897646
459	612-22-6	O=[N+]([O-])c1ccccc1CC	Training	0.92	0.94180244
460	127-90-2	O(CC(C(Cl)(Cl)Cl)Cl)CC(C(Cl)(Cl)Cl)Cl	Training	3.28	2.9359467
461	108-60-1	O(C(C)CCl)C(C)CCl	Training	0.85	1.2467847
462	123-63-7	O1C(OC(OC1C)C)C	Test	-0.52	0.24736154
463	1623-19-4	O=P(OCC=C)(OCC=C)OCC=C	Test	0.08	0.7014324
464	60-51-5	O=C(NC)CSP(OC)(OC)=S	Test	-0.26	0.09395758
465	60782-58-3	O[Si](CCCCCC)(CCCCCC)CCCCCC	Training	1.48	1.9274951
466	56-35-9	O([Sn](CCCC)(CCCC)CCCC)[Sn](CCCC)(CCCC)CCCC	Training	3.85	3.6857343
467	1461-25-2	CCCC[Sn](CCCC)(CCCC)CCCC	Training	2.34	2.987194
468	75-99-0	O=C(O)C(C)(Cl)Cl	Test	0.85	0.075141266
469	N.A.	C#CCOCOc1ccc(cc1)Cl	Training	2.03	1.1195799
470	80-43-3	O(OC(c1ccccc1)(C)C)C(c2ccccc2)(C)C	Training	2.63	2.214731
471	96-69-5	Oc1cc(c(cc1C(C)(C)C)Sc2cc(c(O)cc2C)C(C)(C)C)C	Training	0.79	1.8364195
472	88-19-7	O=S(=O)(N)c1ccccc1C	Training	0.26	0.36864048
473	98-47-5	O=[N+]([O-])c1cccc(c1)S(=O)(=O)O	Test	0.7	0.17267168
474	96-73-1	O=[N+]([O-])c1ccc(c(c1)S(=O)(=O)O)Cl	Training	0.48	0.14660212
475	24019-05-4	O=C(Nc1ccc(c(c1)Cl)Cl)Nc3cc(ccc3(Oc2ccc(cc2S(=O)(=O)O)Cl))Cl	Training	1.87	1.3753686
476	6731-36-8	O(OC1(OOC(C)(C)C)(CC(C)CC(C)(C)C1))C(C)(C)C	Training	3.96	1.6863873
477	78-59-1	O=C1C=C(C)CC(C)(C)C1	Test	0.14	0.98617905
478	1779-48-2	OP(O)c1ccccc1	Training	0.78	0.3678043
479	1241-94-7	O=P(Oc1ccccc1)(Oc2ccccc2)OCC(CC)CCCC	Training	2.49	1.9448556
480	29761-21-5	O=P(Oc1ccccc1)(Oc2ccccc2)OCCCCCCCC(C)C	Training	2.83	1.7600677
481	60628-17-3	O(c1ccccc1)P(Oc2ccccc2)OCCCCCCCCCCCCC	Training	2.05	1.3867522
482	26967-76-0	O=P(Oc1ccc(cc1)C(C)C)(Oc2ccc(cc2)C(C)C)Oc3ccc(cc3)C(C)C	Test	1.5	1.2906834
483	122-14-5	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1C	Training	1.71	0.9129366
484	2104-64-5	O=[N+]([O-])c2ccc(OP(OCC)(c1ccccc1)=S)cc2	Training	2.97	1.5805551
485	98-10-2	O=S(=O)(N)c1ccccc1	Training	0.68	0.29733795
486	10113-28-7	O=P(Oc1ccccc1)(OC)OC	Training	2.76	0.9070713
487	961-11-5	O=P(OC(=CCl)c1cc(c(cc1Cl)Cl)Cl)(OC)OC	Training	1.6	3.1141098
488	14816-18-3	N#CC(=NOP(OCC)(OCC)=S)c1ccccc1	Training	2.62	0.659465
489	119-61-9	O=C(c1ccccc1)c2ccccc2	Training	0.89	1.7189772
490	84-86-6	O=S(=O)(O)c2ccc(N)c1ccccc12	Training	0.78	0.41060543
491	81-16-3	O=S(=O)(O)c2c(N)ccc1ccccc12	Training	0.78	0.41566008
492	87-02-5	O=S(=O)(O)c1cc(O)c2ccc(N)cc2(c1)	Test	0.38	0.39315465
493	90-20-0	O=S(=O)(O)c1cc(O)c2c(N)cc(cc2(c1))S(=O)(=O)O	Test	0.46	0.28977126
494	82-47-3	O=S(=O)(O)c1cc(c2cccc(O)c2(c1(N)))S(=O)(=O)O	Training	0.9	0.12579678
495	134-47-4	O=C(Nc1ccc2c(O)cc(cc2(c1))S(=O)(=O)O)Nc3ccc4c(O)cc(cc4(c3))S(=O)(=O)O	Training	0.26	0.38077936
496	82-44-0	O=C2c3ccccc3(C(=O)c1c2(cccc1Cl))	Training	2.3	1.6080251
497	131-09-9	O=C1c3ccccc3(C(=O)c2cc(ccc12)Cl)	Training	2.28	1.6075416
498	123251-96-7	O=S(=O)(O)c1cc(cc(c1(N))Cl)c2cc(c(N)c(c2)S(=O)(=O)O)Cl	Test	0.2	0.09252498
499	81-11-8	O=S(=O)(O)c2cc(N)ccc2(C=Cc1ccc(N)cc1S(=O)(=O)O)	Training	0.28	0.66985124
500	90-51-7	O=S(=O)(O)c1cc(O)c2cc(N)ccc2(c1)	Training	0.61	0.41037637
502	126-33-0	O=S1(=O)(CCCC1)	Training	1.11	0.063796304
503	128-86-9	O=C1c3c(O)c(cc(N)c3(C(=O)c2c(O)c(cc(N)c12)S(=O)(=O)O))S(=O)(=O)O	Training	0.31	-0.08591883
504	25747-06-2	O=S(=O)(O)c3cc(cc(N=Nc1ccc2c(O)cccc2(c1(O)))c3(O))Cl	Training	0.58	0.5153588
505	5124-25-4	O=[N+]([O-])c2cc(ccc2(Nc1ccccc1))S(=O)(=O)Nc3ccccc3	Training	1.61	1.4070301
506	10319-14-9	O=C1c4ccccc4(C(=O)C1c3nc2ccccc2c(c3(O))Br)	Test	1.08	1.2466565
507	26630-87-5	O=C(OCCN(c3ccc(N=Nc2nc1ccc(cc1s2)Cl)c(c3)NC(=O)c4ccccc4)CCOC(=O)C)C	Training	1.22	0.3083899
508	59722-76-8	O=C2c4ccccc4(C(=O)c3c(N)c(Oc1ccc(cc1)Br)cc(O)c23)	Training	2.05	1.0995506
509	15958-19-7	O=S(=O)(O)c3cc(c(cc3(N=Nc2c(O)ccc1ccccc12))C)Cl	Training	1.07	1.4476159
510	16014-23-6	O=C(O)c3cc1ccccc1c(N=Nc2ccc(cc2S(=O)(=O)O)C)c3(O)	Training	0.84	1.0872111
511	21564-17-0	N#CSCSc2nc1ccccc1s2	Training	2.32	0.9712945
