Id;CAS;SMILES;Status;Experimental value [-log(mol/l)];Predicted value [-log(mol/l)];;;Testing Molecule;Training Molecule;Similarity score;Accuracy(pred);Concordance;Max Error;Atom Centered;Descriptor Range 
285;149877-41-8;COC1=CC=C(C=C1NNC(=O)OC(C)C)C1=CC=CC=C1;Training;6.55;5.802.682;;;;;;;;;;
286;82657-04-3;CC1=C(C=CC=C1COC(=O)C1C(\C=C(/Cl)C(F)(F)F)C1(C)C)C1=CC=CC=C1;Training;9.93;8.674.765;;;;;;;;;;
288;2665-13-6;CC(CCOB1OCCC(C)O1)OB1OCCC(C)O1;Training;2.48;4.359.656;;;;;;;;;;
289;56073-10-0;OC1=C(C2CC(CC3=C2C=CC=C3)C2=CC=C(C=C2)C2=CC=C(Br)C=C2)C(=O)OC2=C1C=CC=C2;Test;6.49;6.137.134;;;;;;;;;;
290;7166-19-0;[O-][N+](=O)C(\Br)=C/C1=CC=CC=C1;Training;8.09;60.391.827;;;;;;;;;;
297;7173-51-5;CCCCCCCCCC[N+](C)(C)CCCCCCCCCC;Training;8.5;57.906.013;;;;;;;;;;
300;35367-38-5;FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC=C(Cl)C=C1;Training;9.29;57.997.217;;;;;;;;;;
302;55290-64-7;CC1=C(C)S(=O)(=O)CCS1(=O)=O;Training;4.27;41.925.597;;;;;;;;;;
303;122-39-4;N(C1=CC=CC=C1)C1=CC=CC=C1;Training;5.75;5.913.882;;;;;;;;;;
304;136-45-8;CCCOC(=O)C1=CN=C(C=C1)C(=O)OCCC;Training;4.47;57.694.235;;;;;;;;;;
305;29873-30-1;CCCCCCCCCCSCCN;Training;7.92;59.693.274;;;;;;;;;;
306;91-53-2;CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1;Training;5.61;45.205.913;;;;;;;;;;
307;2593-15-9;CCOC1=NC(=NS1)C(Cl)(Cl)Cl;Training;5.17;58.917.794;;;;;;;;;;
308;114369-43-6;ClC1=CC=C(CCC(CN2C=NC=N2)(C#N)C2=CC=CC=C2)C=C1;Training;5.77;54.104.104;;;;;;;;;;
310;134098-61-6;CN1N=C(C)C(\C=N\OCC2=CC=C(C=C2)C(=O)OC(C)(C)C)=C1OC1=CC=CC=C1;Training;9.48;7.258.439;;;;;;;;;;
311;79622-59-6;[O-][N+](=O)C1=C(NC2=NC=C(C=C2Cl)C(F)(F)F)C(=C(Cl)C(=C1)C(F)(F)F)[N+]([O-])=O;Training;7.36;69.337.087;;;;;;;;;;
315;103361-09-7;FC1=C(C=C2N(CC#C)C(=O)COC2=C1)N1C(=O)C2=C(CCCC2)C1=O;Training;5.31;4.562.531;;;;;;;;;;
317;35554-44-0;ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C;Training;5.52;5.168.813;;;;;;;;;;
318;143390-89-0;CO\N=C(\C(=O)OC)C1=C(COC2=C(C)C=CC=C2)C=CC=C1;Training;6.81;55.093.184;;;;;;;;;;
319;91465-08-6;CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1;Training;11.04;9.082.497;;;;;;;;;;
320;556-61-6;CN=C=S;Training;6.99;50.733.814;;;;;;;;;;
321;112-12-9;CCCCCCCCCC(C)=O;Training;6.2;5.198.616;;;;;;;;;;
322;113-48-4;CCCCC(CC)CN1C(=O)C2C3CC(C=C3)C2C1=O;Test;5.66;54.861.035;;;;;;;;;;
323;91-20-3;C1=CC2=CC=CC=C2C=C1;Training;5.43;572.088;;;;;;;;;;
328;59-50-7;CC1=CC(O)=CC=C1Cl;Training;5.29;39.897.666;;;;;;;;;;
329;82-68-8;[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl;Training;6.3;6.303.365;;;;;;;;;;
330;23103-98-2;CN(C)C(=O)OC1=NC(=NC(C)=C1C)N(C)C;Test;8.83;646.384;;;;;;;;;;
331;29232-93-7;CCN(CC)C1=NC(C)=CC(OP(=S)(OC)OC)=N1;Training;10.88;9.182.572;;;;;;;;;;
332;112-80-1;CCCCCCCC\C=C/CCCCCCCC(O)=O;Training;6.52;5.672.923;;;;;;;;;;
333;23031-36-9;C\C(C)=C\[C@H]1[C@H](C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C;Training;9;7.601.724;;;;;;;;;;
334;96489-71-3;CC(C)(C)N1N=CC(SCC2=CC=C(C=C2)C(C)(C)C)=C(Cl)C1=O;Training;10.47;6.237.943;;;;;;;;;;
337;57-24-9;[H][C@]12C[C@@]3([H])C4=CCOC5CC(=O)N6C([C@@]35[H])[C@]1(CCN2C4)C1=CC=CC=C61;Training;4.94;4.394.272;;;;;;;;;;
338;107534-96-3;CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1;Training;5.42;5.064.845;;;;;;;;;;
339;79538-32-2;CC1=C(F)C(F)=C(COC(=O)C2C(\C=C(/Cl)C(F)(F)F)C2(C)C)C(F)=C1F;Training;11.67;9.425.786;;;;;;;;;;
340;59669-26-0;CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC;Training;8.27;6.883.567;;;;;;;;;;
342;141517-21-7;CO\N=C(\C(=O)OC)C1=C(CO\N=C(/C)C2=CC=CC(=C2)C(F)(F)F)C=CC=C1;Training;8.38;59.748.626;;;;;;;;;;
345;1702-17-6;OC(=O)C1=C(Cl)C=CC(Cl)=N1;Training;3.06;38.867.357;;;;;;;;;;
346;2782-57-2;ClN1C(=O)NC(=O)N(Cl)C1=O;Training;7.22;4.154.521;;;;;;;;;;
347;34375-28-5;OCCNCO;Test;3.72;35.207.586;;;;;;;;;;
348;25168-26-7;CC(C)CCCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1;Training;8.43;64.347.973;;;;;;;;;;
349;94-82-6;OC(=O)CCCOC1=C(Cl)C=C(Cl)C=C1;Training;4.28;4.004.507;;;;;;;;;;
350;3337-71-1;COC(=O)NS(=O)(=O)C1=CC=C(N)C=C1;Training;4.19;46.782.904;;;;;;;;;;
351;86-50-0;COP(=S)(OC)SCN1N=NC2=C(C=CC=C2)C1=O;Training;9.98;74.745.893;;;;;;;;;;
352;28772-56-7;OC(CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O)C1=CC=C(C=C1)C1=CC=C(Br)C=C1;Training;6.09;58.011.303;;;;;;;;;;
353;63333-35-7;CN(C1=C(Br)C=C(Br)C=C1Br)C1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)C(F)(F)F;Training;9.99;7.727.453;;;;;;;;;;
354;16079-88-2;CC1(C)N(Br)C(=O)N(Cl)C1=O;Training;6.21;506.922;;;;;;;;;;
355;56634-95-8;CCCCCCC(=O)OC1=C(Br)C=C(C=C1Br)C#N;Training;8.24;69.738.646;;;;;;;;;;
356;01/06/2425;ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O;Training;5.57;5.636.013;;;;;;;;;;
357;10605-21-7;COC(=O)NC1=NC2=C(N1)C=CC=C2;Training;6.5;54.241.276;;;;;;;;;;
358;7003-89-6;C[N+](C)(C)CCCl;Training;4.25;3.812.771;;;;;;;;;;
359;1897-45-6;ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl;Training;7.58;6.290.841;;;;;;;;;;
360;64902-72-3;COC1=NC(NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl)=NC(C)=N1;Training;2.97;4.325.484;;;;;;;;;;
361;56-72-4;CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2;Test;11.03;9.092.377;;;;;;;;;;
362;21725-46-2;CCNC1=NC(NC(C)(C)C#N)=NC(Cl)=N1;Training;3.88;4.050.739;;;;;;;;;;
363;113136-77-9;OC(=O)C1(CC1)C(=O)NC1=C(Cl)C=C(Cl)C=C1;Training;5.23;4.333.293;;;;;;;;;;
364;N.A.;CC(C1CC1)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1;Training;4.34;55.021.157;;;;;;;;;;
365;112-30-1;CCCCCCCCCCO;Training;4.78;51.232.853;;;;;;;;;;
366;333-41-5;CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C;Training;10.03;8.402.715;;;;;;;;;;
368;1918-00-9;COC1=C(Cl)C=CC(Cl)=C1C(O)=O;Training;3.38;38.113.532;;;;;;;;;;
369;51338-27-3;COC(=O)C(C)OC1=CC=C(OC2=C(Cl)C=C(Cl)C=C2)C=C1;Training;7.05;6.672.883;;;;;;;;;;
370;957-51-7;CN(C)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1;Training;3.79;52.749.925;;;;;;;;;;
371;115-29-7;ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl;Training;7.33;68.205.376;;;;;;;;;;
372;145-73-3;OC(=O)C1C2CCC(O2)C1C(O)=O;Training;3.97;27.690.258;;;;;;;;;;
373;16672-87-0;OP(O)(=O)CCCl;Training;3.84;33.293.269;;;;;;;;;;
374;80844-07-1;CCOC1=CC=C(C=C1)C(C)(C)COCC1=CC=CC(OC2=CC=CC=C2)=C1;Test;10.44;7.049.767;;;;;;;;;;
375;13194-48-4;CCCSP(=O)(OCC)SCCC;Training;7.37;7.320.008;;;;;;;;;;
376;22224-92-6;CCOP(=O)(NC(C)C)OC1=CC(C)=C(SC)C=C1;Training;9.65;7.439.235;;;;;;;;;;
377;122-14-5;COP(=S)(OC)OC1=CC(C)=C(C=C1)[N+]([O-])=O;Training;8.63;8.471.971;;;;;;;;;;
378;33245-39-5;CCCN(CCCl)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O;Training;6.58;6.273.668;;;;;;;;;;
379;98967-40-9;CC1=NC2=NC(=NN2C=C1)S(=O)(=O)NC1=C(F)C=CC=C1F;Test;3.14;45.000.186;;;;;;;;;;
380;2164-17-2;CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F;Training;4.75;43.241.553;;;;;;;;;;
381;72178-02-0;CS(=O)(=O)NC(=O)C1=C(C=CC(OC2=C(Cl)C=C(C=C2)C(F)(F)F)=C1)[N+]([O-])=O;Training;3.22;5.793.577;;;;;;;;;;
382;51276-47-2;CP(O)(=O)CCC(N)C(O)=O;Training;2.32;29.048.457;;;;;;;;;;
383;112226-61-6;CC(C)(C)N(NC(=O)C1=CC=C(Cl)C=C1)C(=O)C1=CC=CC=C1;Test;5.51;568.924;;;;;;;;;;
384;86479-06-3;FC(F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1Cl;Test;11.47;7.577.843;;;;;;;;;;
385;51235-04-2;CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C;Training;3.28;39.861.755;;;;;;;;;;
386;10004-44-1;CC1=CC(=O)NO1;Training;3.65;3.976.441;;;;;;;;;;
387;133-32-4;OC(=O)CCCC1=CNC2=C1C=CC=C2;Training;3.7;36.466.894;;;;;;;;;;
389;42588-37-4;CC(C)CCCC(C)C\C=C\C(C)=C\C(=O)OCC#C;Training;7.4;6.160.764;;;;;;;;;;
390;123-33-1;O=C1NNC(=O)C=C1;Training;3.03;40.888.624;;;;;;;;;;
391;2032-65-7;CNC(=O)OC1=CC(C)=C(SC)C(C)=C1;Test;8.2;58.428.006;;;;;;;;;;
392;40596-69-8;COC(C)(C)CCCC(C)C\C=C\C(C)=C\C(=O)OC(C)C;Training;6.25;60.362.315;;;;;;;;;;
393;161050-58-4;COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C;Training;5.56;5.778.939;;;;;;;;;;
394;74-83-9;CBr;Training;4.99;47.427.573;;;;;;;;;;
395;1214-39-7;C(NC1=C2NC=NC2=NC=N1)C1=CC=CC=C1;Training;4.33;46.678.596;;;;;;;;;;
396;77732-09-3;COCC(=O)N(N1CCOC1=O)C1=C(C)C=CC=C1C;Training;2.64;46.473.846;;;;;;;;;;
397;13171-21-6;CCN(CC)C(=O)C(\Cl)=C(\C)OP(=O)(OC)OC;Training;8.59;78.637.714;;;;;;;;;;
398;01/02/1918;NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl;Training;3.7;37.081.723;;;;;;;;;;
399;3478-94-2;CC1CCCCN1CCCOC(=O)C1=CC=C(Cl)C(Cl)=C1;Training;5.86;61.008.167;;;;;;;;;;
400;60207-90-1;CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1;Training;5.37;51.041.746;;;;;;;;;;
401;114-26-1;CNC(=O)OC1=C(OC(C)C)C=CC=C1;Training;8.47;52.493.105;;;;;;;;;;
402;123312-89-0;CC1=NNC(=O)N(C1)\N=C\C1=CN=CC=C1;Training;3.51;39.881.387;;;;;;;;;;
403;175013-18-0;CON(C(=O)OC)C1=CC=CC=C1COC1=NN(C=C1)C1=CC=C(Cl)C=C1;Training;8.61;6.403.645;;;;;;;;;;
404;55512-33-9;CCCCCCCCSC(=O)OC1=C(N=NC(Cl)=C1)C1=CC=CC=C1;Test;6.26;66.492.367;;;;;;;;;;
405;95737-68-1;CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1;Training;6.72;6.643.103;;;;;;;;;;
406;84087-01-4;OC(=O)C1=C(Cl)C=CC2=C1N=CC(Cl)=C2;Test;4.16;382.584;;;;;;;;;;
407;122931-48-0;CCS(=O)(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1;Training;2.53;4.117.774;;;;;;;;;;
408;90-43-7;OC1=C(C=CC=C1)C1=CC=CC=C1;Test;5.17;42.340.026;;;;;;;;;;
409;57-92-1;[H][C@]1(O[C@@H]2O[C@@H](C)[C@](O)(C=O)[C@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC)[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]1NC(N)=N;Test;3.03;39.575.217;;;;;;;;;;
410;122836-35-5;CC1=NN(C(=O)N1C(F)F)C1=C(Cl)C=C(Cl)C(NS(C)(=O)=O)=C1;Training;4.04;5.231.254;;;;;;;;;;
411;4151-50-2;CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;Training;7.03;4.610.219;;;;;;;;;;
412;21564-17-0;N#CSCSC1=NC2=CC=CC=C2S1;Training;8.14;6.504.206;;;;;;;;;;
413;22248-79-9;COP(=O)(OC)O\C(=C\Cl)C1=C(Cl)C=C(Cl)C(Cl)=C1;Training;9.76;8.821.759;;;;;;;;;;
414;7696-12-0;C\C(C)=C\[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C;Training;7.95;7.951.025;;;;;;;;;;
415;148-79-8;N1C(=NC2=C1C=CC=C2)C1=CSC=N1;Training;6.59;5.743.805;;;;;;;;;;
416;51707-55-2;O=C(NC1=CN=NS1)NC1=CC=CC=C1;Training;4.71;5.145.245;;;;;;;;;;
417;23564-05-8;COC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OC)C=CC=C1;Training;5.3;5.787.617;;;;;;;;;;
418;27519-02-4;CCCCCCCCCCCCC\C=C/CCCCCCCC;Training;6.17;68.634.863;;;;;;;;;;
419;26644-46-2;ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl;Training;4.52;45.897.894;;;;;;;;;;
420;131983-72-7;CC1(C)CC\C(=C\C2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1;Training;5.07;5.189.391;;;;;;;;;;
421;50471-44-8;CC1(OC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1)C=C;Training;5.42;56.460.714;;;;;;;;;;
422;81-81-2;CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2;Test;3.49;40.251.493;;;;;;;;;;
