Id,CAS,SMILES,Status,Experimental value [-log(mol/l)],Predicted value [-log(mol/l)]
312,598-16-3,C(=C(Br)Br)Br,Test,4.33,5.8211923
313,611-06-3,O=[N+]([O-])c1ccc(cc1Cl)Cl,Test,4.66,4.122874
314,626-43-7,Nc1cc(cc(c1)Cl)Cl,Test,5.16,4.8077865
315,632-22-4,O=C(N(C)C)N(C)C,Test,1.6,1.9812579
316,634-83-3,Nc1cc(c(c(c1Cl)Cl)Cl)Cl,Test,5.56,5.4802537
317,693-21-0,O=[N+]([O-])OCCOCCO[N+](=O)[O-],Test,3.34,2.9390664
318,1570-65-6,Oc1c(cc(cc1Cl)Cl)C,Test,5.62,4.4479947
319,2051-60-7,c1ccc(cc1)c2ccccc2Cl,Test,5.42,5.090557
320,02/09/2257,C(=NCCc1ccccc1)=S,Test,6.1,5.0832524
321,2437-79-8,c1cc(cc(c1c2ccc(cc2Cl)Cl)Cl)Cl,Test,6.99,5.870054
322,2489-77-2,N(C(N(C)C)=S)C,Test,2.19,4.286101
323,2539-17-5,Oc1c(OC)c(c(c(c1Cl)Cl)Cl)Cl,Test,6.27,5.4376044
324,02/06/2741,c1ccc(cc1)NC(NCC)=S,Test,3.35,4.258095
325,3209-22-1,O=[N+]([O-])c1cccc(c1Cl)Cl,Test,4.63,4.139364
326,03/12/3483,OC(CS)C(O)CS,Test,3.76,7.3749146
327,04/04/3547,c1cc(ccc1C(c2ccc(cc2)Cl)C)Cl,Test,6.86,5.5188203
328,3689-24-5,O(CC)P(OCC)(OP(OCC)(OCC)=S)=S,Test,9.15,8.431953
329,6972-05-0,NC(N(C)C)=S,Test,3.4,4.0758996
330,10265-92-6,O=P(OC)(N)SC,Test,6.62,6.7268734
331,15263-53-3,O=C(N)SCC(N(C)C)CSC(=O)N,Test,7.38,4.910171
332,28159-98-0,n1c(nc(nc1NC(C)(C)C)SC)NC2CC2,Test,4.49,4.4786873
333,40596-69-8,O=C(OC(C)C)C=C(C=CCC(C)CCCC(OC)(C)C)C,Test,5.48,5.956456
334,55406-53-6,O=C(OCC#CI)NCCCC,Test,6.85,7.278105
335,57157-80-9,N(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C,Test,6.42,6.112731
336,112410-23-8,O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2ccc(cc2)CC,Test,4.31,7.1358986
337,138261-41-3,O=[N+]([O-])N=C1NCCN1Cc2cnc(cc2)Cl,Test,4.17,3.9583354
